id,text,y
50,道理存在的地方 就是老师存在的地方,0
51,於期乃前曰,1
52,陆机因作乱而冒险,0
53,未始以为忧也,1
54,吞二周而亡诸侯 履至尊而制六合,1
55,继汉而帝者 虽百代可知也,1
56,笋者上 牙者次,1
57,况在乡党乎哉 况在朝廷乎哉,1
58,寒暑易节 始一反焉,1
59,米多了价格自然低廉了,0
60,颛顼在位七十九年 年九十八岁,1
61,或问曰 闻君踞见李密 而敬王公 何也,1
62,等了十年 才得到这中牟县官,0
63,以前那轻视丁觇的人 以后想要丁觇的一纸书法也不可得了,0
64,及至其致好之也 目好之五色 耳好之五声,1
65,材增迂诞 军国经纶 略无施用,1
66,吾不得而知之也,1
67,全之尽之 然后学者也,1
68,太宗既许 召从信问之 对曰,1
69,天子无法撤换不称职的诸侯国的君主,0
70,兴起已经荒废的事业 这些都是王道的重要内容,0
71,广泛学习 务求有所收获 不论是无关紧要的,0
72,始其蒸也 入乎箪 既其熟也 出乎箪,1
73,郑覃说 挽救时世的弊政 首先在于求实,0
74,与它一起的母鸡死了,0
75,从此他以英勇善战闻名于诸侯各国,0
76,子墨子曰 北方有侮臣者 愿借子杀之,1
77,文远曰 将军前受误于玄感 暂坠家声,1
78,乐经 的吗,0
79,我是一向喜爱丁觇的书法的 还经常加以珍藏,0
80,侍中领右卫将军演之 清业贞审 器思沈济,1
81,于是使来游洞的官员绝迹了,0
82,盗起而不知御 民困而不知救 吏奸而不知禁,1
83,如果迁移它 应该在冬天而不是春天,0
84,舌头一吐 两只虫子全被它吃掉了,0
85,一事惬当 一句清巧,1
86,从父兄弟姊妹已孤,1
87,当时我一个人要依靠父母抚养,0
88,若使烛之武见秦君 师必退,1
89,故未可与言而言 谓之傲,1
90,只需要派一两个大臣前去就能处理好的,0
91,麻鞋有一屋子 旧衣藏几个库,0
92,红装而蹇者 亦时时有,1
93,凭你的力气 连魁父这座小山都不能削平,0
94,十一月才到达蜀地,0
95,从今以后 我就像涂了漆却想除去一样了,0
96,因此秦王很不高兴 也只好敲了一下缻,0
97,自己常叹息由於缺乏教育 才会到这一地步,0
98,若自发舟计日往复并支 可以责其程限,1
99,有蒋氏者 专其利三世矣,1
100,寡人生长宫房 不闻正论,1
101,泉水飞溅在山石之上 发出清悦泠泠的响声,0
102,事与才争 事繁而才损,1
103,吕蒙用军中事务繁多来推托,0
104,吴国国王夫差便告诉各位大夫说,0
105,今则舍声利而向山栖 鹿冠舄几 使于锦绣之服,1
106,金玉之磨莹 自美其矿璞,1
107,缪贤回答说 微臣曾犯过罪,0
108,后卫指挥刘忠嗣拔剑道,0
109,细木为桷 欂栌 侏儒 椳 闑 扂 楔,1
110,共享天下的福禄,0
111,方其远出海门 仅如银线,1
112,相如度秦王虽斋 决负约不偿城,1
113,故在辽东所有白布单衣 亲拜馔馈 跪拜成礼,1
114,深谋远虑 行军用兵之道 非及向时之士也,1
115,奉之弥繁 侵之愈急,1
116,还有那房屋器具 柴草蜡烛,0
117,遂与之俱出,1
118,岂不食其利背其惠耶,1
119,樊哙从良坐,1
120,廉颇是赵国优秀的将领,0
121,然而灵用不同 玄化各异,1
122,征召管宁的命令接连不断 常常在八月赐予牛酒,0
123,他们的志向和心思忠诚无二,0
124,太尉回答说,0
125,是以必须重娶 至於三四 母年有少於子者,1
126,侯景初入建业 台门虽闭,1
127,引兵之方与 欲击秦军定陶下,1
128,拨乱世反之正 莫近于 春秋,1
129,赵王与大将军廉颇诸大臣谋,1
130,人家的一言一笑一举一动,0
131,蕲下 乃令符离人葛婴将兵徇蕲以东,1
132,渭流涨腻 弃脂水也 烟斜雾横 焚椒兰也,1
133,方是时 余之力尚足以入 火尚足以明也,1
134,然而成败异变 功业相反 何也,1
135,臣知欺大王之罪当诛,1
136,行收兵至关 车千乘 卒数十万 至戏 军焉,1
137,如果废弃皇上英明神圣的盛大美德不去记载 埋没功臣 贵族,0
138,完成了合葬祖父母于偃师之事 归途中停留于荆州,0
139,大业初 授国子博士,1
140,而蔺相如只不过靠能说会道立了点功,0
141,唐朝建立后 国家的学校教育得到很大发展,0
142,我希望这 家训 能被你们所遵信,0
143,乃朝服 设九宾 见燕使者咸阳宫,1
144,以前有人宁肯死也不愿接受,0
145,有的屋里主管权操纵在恶儿媳妇手中,0
146,秦王使使者告赵王 欲与王为好会于西河外渑池,1
147,奂山的山市 是淄川县有名的八景之一,0
148,是大不然,1
149,白孝德派了几十个人跟随太尉 太尉把他们全部辞退了,0
150,善哉 峨峨兮若泰山,1
151,公孙恭送之南郊 加赠服物,1
152,蔺相如睁圆双眼大声斥骂他们 侍从们都吓得倒退,0
153,不道礼宪 以诗书为之 譬之犹以指测河也,1
154,罗彦说 普通百姓毫无见识,0
155,贯 竹子削制成 长二尺五寸 用来穿茶烘培,0
156,根据自己的财力为父亲送了终,0
157,则相顾裂眦 勃然而起,1
158,骨肉之间要有爱 但不可以简慢,0
159,把局势掌握在手里,0
160,时当九月 秋高气爽,0
161,今南方已定 兵甲已足 当奖率三军,1
162,度道里会遇之礼毕 还 不过三十日,1
163,我为这景象高兴地拍手叫好,0
164,武臣到邯郸 自立为赵王,1
165,见到容貌相似的目惊 听到名字相同的心惊,0
166,生乎吾前 其闻道也固先乎吾,1
167,问今是何世 乃不知有汉 无论魏晋,1
168,乡为身死而不受 今为所识穷乏者得我而为之,1
169,当是时也 商君佐之 内立法度,1
170,生有六个儿子 罗俊 罗彦 罗士 罗善 罗喆 罗辅,0
171,酷类先人 可得终身肠断与之绝耶 又 临文不讳,1
172,我年纪还不到四十岁 但视力模糊 头发花白 牙齿松动,0
173,往东俯瞰 峡谷中的江水绕着峡谷往东流进洞,0
174,念此三洞 慕之数十年 趋走万里乃至,1
175,好德而文 以世其家 吾以是铭之,1
176,刘邦说 一个见识短浅的小子劝我说,0
177,而将个人的私怨搁在后面罢了,0
178,那么 有或没有原始阶段哪种说法比较接近事实呢,0
179,他日子之庭 其无花哉,1
180,诸侯的霸主不能改变乱国的政治措施,0
181,讽刺之祸 速乎风尘,1
182,或者又曰 夏 商 周 汉封建而延 秦郡邑而促,1
183,列屋而闲居 妒宠而负恃 争妍而取怜,1
184,我家里的六只公鸡没有敢和它较量的,0
185,不愿和廉颇去争位次的先后,0
186,岂其愤世疾邪者耶 而托于柑以讽耶,1
187,挺剑而起,1
188,诸侯奔走不得保其社稷者不可胜数,1
189,难道仅仅只有我一个吗,0
190,鞭打了几十下 把它驱赶到别的院子里去了,0
191,但此后他的子孙却能够与遵循先王法度的太平君主,0
192,惩山北之塞 出入之迂也,1
193,此四儒者 虽好经术 亦以才博擅名,1
194,我们这些人没有出息 请让我们辞去吧,0
195,数脔獐肉 婿恨其单率 一举尽之,1
196,一在天之涯 一在地之角,1
197,太宗征并 汾 以为大内副部署,1
198,而岳阳楼耸立于江湖交汇的地方,0
199,庭有武臣 谋夫如云,1
200,满一年以后 即使有人想进谏 也没有什么可说的了,0
201,难道代代贤明吗 这是地位形势造成的呀,0
202,而进不能出群士之上 以取显贵者 盖无他焉,1
203,我说 这种病 江南人常常得,0
204,我赞许他能够遵行古人从师的途径,0
205,乃以吴叔为假王 监诸将以西击荥阳,1
206,诸侯国像繁星似地罗列,0
207,秦国的史官上前来写道,0
208,今设汝安用 苟有所阙 当罪汝以谢众,1
209,足将进而趑趄 口将言而嗫嚅,1
210,然则郭氏功名 其与存者几何,1
211,你又不知羞耻地收下了,0
212,谨使臣良奉白璧一双 再拜献大王足下,1
213,翟然自失 敛容抑志也,1
214,又数里 见儒衣冠者簇簇然谋曰,1
215,废除诸侯而委派郡县长官,0
216,斧斤以时入山林 材木不可胜用也,1
217,尉剑挺 广起 夺而杀尉,1
218,下有自己的职守 万事已经具备,0
219,陈胜 吴广乃谋曰 今亡亦死,1
220,范增起 出召项庄 谓曰 君王为人不忍,1
221,遂判为十二 合为七国,1
222,跃身炎冷之途 标华黄 绮之列,1
223,人类果真有原始阶段吗 我也没法知道,0
224,对联 题名并篆文 为字共三十有四,1
225,今急而求子 是寡人之过也,1
226,障百川而东之 回狂澜于既倒,1
227,年始九岁 便丁茶蓼 家涂离散 百口索然,1
228,如果这样 即使走在路上的陌生人都踏他的脸踩他的心,0
229,大祖谓之曰 中领卫 望实优显,1
230,至能守其业者 闭门而为生之具以足 但家无盐井耳,1
231,尚令巫祝先以桃茹祓除不祥 然后进吊,1
232,世上议论天道的人 都不等上天的意愿完全表现出来就去责求,0
233,就奋力打断人家的手足,0
234,之二虫又何知,1
235,子既貌取以为良 一不当 暴摧折之,1
236,遂历历然若真可记者,1
237,男女都在冬祭上展示自己的劳动成果事功,0
238,徐公哪能比得上您呢,0
239,自云先世避秦时乱 率妻子邑人来此绝境,1
240,我个人认为自己作名的好,0
241,此人叹曰 才华不为妻子所容,1
242,唐雎对曰 臣未尝闻也,1
243,鸡群向它发动攻击 拖拉着它 将它赶走,0
244,这就叫做丧失了人所固有的本性,0
245,賊分两道 一出固关 一趋河间,1
246,有盛名而免过患者,1
247,让你这样的顽童充数做官却不把做官之道讲给你听,0
248,宋真宗咸平年中 朝廷赐给官吏职田即职分田,0
249,中午时分 风渐渐大起来 湖水有汩汩的声音,0
250,其后季父请于君 君固不许,1
251,今之称太尉大节者出入 以为武人一时奋不虑死,1
252,这以后天下便统一于天子一人了,0
253,臣不臣 父不父 子不子,1
254,四人者 庐陵萧君圭君玉,1
255,醒来能够用文章记述这乐事的人 那就是太守啊,0
256,可是景帝没有洞察到他们的用心,0
257,一定讲究整齐,0
258,戍卒叫 函谷举 楚人一炬 可怜焦土,1
259,滕子京说 简直要扶着栏杆大哭一场才觉得痛快,0
260,求福不回 勃然奋厉 不可恐慑也,1
261,秦王发怒 不答应,0
262,山水之乐 得之心而寓之酒也,1
263,颇晓书疏 教其鲜卑语及弹琵琶,1
264,前列丝竹 后罗珠翠,1
265,其去则然 其来则不然 幸为少尽缱绻,1
266,祸患发生时就不惊慌失措而能从容地治理它 所以能够最终取得成功,0
267,纠正主上之过 就是由于秦朝的风气多有忌讳的禁规,0
268,乃我困汝 即自取水洗去血,1
269,轲自知事不就 倚柱而笑 箕踞以骂曰,1
270,出现了一条细缝就填补 那就不会有倒塌的危险,0
271,苔痕上阶绿 草色入帘青,1
272,从古以来执笔写文的,0
273,古人说,0
274,朝夕辐辏 几案盈积,1
275,今日获奉君子 咸善终世 死无恨矣,1
276,或曰 六国互丧 率赂秦耶,1
277,诚知其如此 虽万乘之公相 吾不以一日辍汝而就也,1
278,为臣私下认为这人是个勇士 有智谋 应该可以出使,0
279,问我说 您怎么会了解燕王呢 我对他说,0
280,君不如肉袒伏斧质请罪 则幸得脱矣,1
281,复投之 后狼止而前狼又至,1
282,忽有庞然大物 拔山倒树而来,1
283,曰 有初为近,1
284,醉翁的情趣不在于喝酒 而在欣赏山水的美景,0
285,祖识地德 日中考政 与百官之政事,1
286,盖东野之使者 不知问家人以月日,1
287,所以说婉转驯服地言辞 来纵容国王您的心志,0
288,雅浩的宫殿 跟起伏的山峦配合有致,0
289,可是已经出现了祸乱的苗子,0
290,又其上 则黯然缥缈 不可计其层次矣,1
291,父亲徐彻 梁朝秘书郎,0
292,先帝在世的时候 每逢跟我谈论这些事情,0
293,可是轻蔑地呼喝着给人吃 饥饿的行人也不愿接受,0
294,于是下令每人在颈上挂一枚崇祯制钱,0
295,齐人三鼓,1
296,太宗在晋邸 令典财用 王宫事无大小悉委焉,1
297,流离播越 闻见已多,1
298,军府轻贱 多未之重 耻令子弟以为楷法,1
299,而您受宠于赵王 所以燕王想要和您结交,0
300,会于会稽山阴之兰亭 修禊事也,1
301,他去喝酒就喝个尽兴 希望一定喝醉,0
302,是庐陵欧阳修吧,0
303,能勤勉谋划 立政绩于本职,0
304,到了加冠成婚年纪 体质性情稍稍定型,0
305,上智的人不用教育就能成才,0
306,狎侮宾客 侵耗乡党 此亦为家之巨蠹矣,1
307,万物之散聚皆在 春秋,1
308,但我毫无羡慕的心,0
309,在山上建造了庙宇 一是用来祭祀主宰此湖的神灵,0
310,公家或私人集会宴欢 谈古赋诗,0
311,太尉曰 无伤也 请辞于军,1
312,然至於宏丽精华 不过数十篇耳,1
313,及夫大逆不道 然后掩捕而迁之 勒兵而夷之耳,1
314,产妇随即哭号 真叫人不忍心听,0
315,晚岁好道 独游云泉 今则不知所在矣,1
316,如果没有一座山来包容,0
317,人们见到他 倒像个读书人,0
318,郭晞手下的士兵十七人入城拿酒,0
319,且夫天下非小弱也 雍州之地 肴函之固 自若也,1
320,况夫妇之义 晓夕移之 婢仆求容,1
321,有了诸侯而后有方伯 连帅 有了方伯 连帅而后才有天子,0
322,洞口仍然被曲折的山谷遮掩,0
323,自缪公以来至于秦王二十余君 常为诸侯雄,1
324,食之安得甘 衣之安得暖 若务先王之道,1
325,然不自意能先入关破秦 得復见将军于此,1
326,傅玄因愤争而免官,0
327,啊 多么美好啊,0
328,上不能好其人 下不能隆礼,1
329,这困避讳也不近人情,0
330,吾每念 常痛于骨髓 顾计不知所出耳,1
331,畴昔之夜 飞鸣而过我者 非子也 邪,1
332,安有圣明若此 而肯信此等事哉,1
333,会天大雨 道不通 度已失期,1
334,朝廷委任沈演之和尚书祠部郎江邃二人同为散骑常侍 巡行诸郡,0
335,幸君子书叙之外 悉以心诚之话倚托,1
336,堤上种植榆树柳树 超过先前的数量总共有三万零一百棵,0
337,尔死在尔子孙 其功业在史官 无以像为也,1
338,太史公说,0
339,门犹为曲掩 但见峭崖西向 涌水东倾,1
340,而徐为之图 是以得至於成功,1
341,观其所说 悉是纸上语耳 仆皆先已诵得之,1
342,来访的客人埋怨主人道 您没见过善于种花的人吗,0
343,故不战而强弱胜负已判矣,1
344,乃使蒙恬北筑长城而守藩篱 却匈奴七百余里,1
345,神灵是不会保佑您的,0
346,令将军与臣有郤 项王曰,1
347,且以楚之彊 不敢害赵王将相之家,1
348,黄初四年 文帝诏令公卿大臣举荐独行的君子,0
349,且设是科二百年 渠可易,1
350,若能恕己而行 换子而抚 则此患不生矣,1
351,而君比之于 春秋 谬矣,1
352,生亦我所欲 所欲有甚于生者 故不为苟得也,1
353,虽千载冠冕 不晓书记者,1
354,我持白璧一双 欲献项王 玉斗一双 欲与亚父,1
355,昔在龆龀 便蒙诱诲,1
356,鲁公故意问 你们问这个作什么,0
357,唉 古代从师学习的风尚不流传已经很久了,0
358,世人读书者 但能言之 不能行之,1
359,遵彦后为孝昭所戮 刑政於是衰矣,1
360,我当时虽然能够记事,0
361,神定 捉虾蟆 鞭数十 驱之别院,1
362,这才真的值得哭啊 值得大哭一场啊,0
363,而礼之所为禁者难知,1
364,伤心断肠者何 可胜数,1
365,不是雨过天晴 为什么出虹 原来是天桥在空中行走,0
366,避难者多居郡南 而宁居北示无迁志后渐来从之,1
367,这不仅表现在该书 质而明 详而要 平而不诡 的文章风格上,0
368,得其评裁 知可施行 然后出手,1
369,一个月中 忽而珍视它 忽而贬抑它 都是您一个人所为,0
370,我因此把他记了下来,0
371,因不得志而心情忧郁 扩大原有城楼的规模而有了现在的岳阳楼,0
372,白天完成他们所负责的日常政务,0
373,我向百姓求取大米或柴火后来的人必然依照这个惯例来索取薪米,0
374,曾经跑到百里以外 拿着经书向乡里有道德学问的前辈请教,0
375,我本来是平民 在南阳务农亲耕,0
376,身死名灭者如牛毛 角立杰出者如芝草,1
377,凌余阵兮躐余行 左骖殪兮右刃伤,1
378,如蝇头细字 着鹅溪练上,1
379,百姓困苦却不懂得救助,0
380,翱既闻之 惘然感而遂伤曰,1
381,要给他缝制新衣 洗浴打扮,0
382,最终迷路了 再也找不到通往桃花源的路了,0
383,很可能远处的还不如身边的,0
384,赂秦而力亏 破灭之道也,1
385,这样说来是可以俭省而不可以吝啬了,0
386,一个接一个互相模仿学习,0
387,于是相如前进缻 因跪请秦王,1
388,上天鉴临 臣不怨悔,1
389,吾兄之盛德而夭其嗣矣,1
390,上汉仙侣 幽闺绮思,1
391,鄱盗当阳君黥布之兵相收,1
392,母孙二人 更相为命 是以区区不能废远,1
393,意又褊促 既乘此势 必有异图,1
394,赵王害怕秦国 打算不去,0
395,别造成大的祸乱 也不要促成事变,0
396,李曰 某 滇南万里外人也,1
397,这又将怎么办呢 张良说,0
398,如果是真的,0
399,集结在周天子的周围 就像车轮围绕着中心运转,0
400,鲁公听了 心里非常尊敬李县令 但没有做声,0
401,做父亲的不像父亲 做儿子的不像儿子,0
402,子犯请击之,1
403,是日也 天朗气清 惠风和畅 仰观宇宙之大,1
404,学之兴废 随世轻重,1
405,环堵萧然 不蔽风日 短褐穿结,1
406,弟子事先生 于兹有年矣,1
407,无履立者 自兹堕慢 便为凡人,1
408,去年 孟东野往,1
409,将要盟约时 越王又派诸稽郢砌词说,0
410,其皆出于此乎 爱其子,1
411,劲健的风度却又丧失了,0
412,在外还有亲附 社稷得以保存,0
413,我经常读书 自己觉得获益很多,0
414,盖以诸侯归殷者三千焉 资以黜夏 汤不得而废,1
415,背若泰山 翼若垂天之云,1
416,夫专诸之刺王僚也 彗星袭月,1
417,能够当面批评我的过错的人 给予上等奖赏,0
418,客人您在开封知道这事吗,0
419,抵制 批驳异端邪说 排斥佛教与道家的学说,0
420,莫不为防焉 故虐之,1
421,釜涸注于甑中 又以谷木枝三亚者制之,1
422,则或千或百 果然鹤也,1
423,关卡桥梁封锁不住了 长戟刺不了 强弩射不了,0
424,又七年 还自扬州 复到舅家问焉,1
425,度虚馆以候之既往见度乃庐于山谷时,1
426,项王未有以应 曰 坐,1
427,前所谴责 因而获免,1
428,明亮的星星晶莹闪烁 这是宫妃们打开了梳妆的镜子,0
429,假如让孔子来考究杜诗的主要意蕴,0
430,傥遭不世明达君子 安可不攀附景仰之乎,1
431,妇曰 我有斗酒 藏之久矣 以待子不时之需,1
432,因复谓曰 吾不知子之牧羊,1
433,越国以鄙远 君知其难也 焉用亡郑以陪邻,1
434,秦王足己而不问 遂过而不变,1
435,大楚兴 陈胜王,1
436,自富阳至桐庐一百许里 奇山异水 天下独绝,1
437,风和日丽 湖面像被熨烫过一样平坦,0
438,俄有赤龙长千余尺 电目血舌,1
439,自立为齐王 以齐反击周市,1
440,生乎由是 死乎由是 夫是之谓德操,1
441,我每读圣人写的书 从没有不严肃恭敬地相对,0
442,望长安于日下 目吴会于云间,1
443,虽然现在谣言很猖狂,0
444,且臣少仕伪朝 历职郎署 本图宦达 不矜名节,1
445,变化因时 故旷日长久而社稷安矣,1
446,众人传言说 蜀地人小乱不断,0
447,不若募舟之坚者漕粮 其损败者任载薪炭 则公私俱济,1
448,俱收并蓄 待用无遗者 医师之良也,1
449,王城之东 晋公所庐,1
450,贼至益众 遂遇害,1
451,以竹织之 受五升,1
452,蔺相如前曰 赵王窃闻秦王善为秦声,1
453,既克 公问其故,1
454,洞庭之阴 果有社橘,1
455,周朝的情况就是如此,0
456,往东走一里 越岭 继而登上了东边的崖壁 回环上岭,0
457,出没于鲸波万仞中 腾身百变,1
458,举足为法 绝类离伦 优入圣域,1
459,来发扬光大先帝遗留下来的美德,0
460,占小善者率以录 名一艺者无不庸,1
461,因此了解他 所以打算投奔燕王,0
462,吾属今为之虏矣,1
463,于蒸彘首也尤 且曰 兹物难独啖 就办治 顾安得客,1
464,及走 又从之,1
465,是不得已的,0
466,以油绢或雨衫单服败者为之,1
467,若去淹留之虚日 则岁可增一运焉,1
468,自公而前 吾未始见也,1
469,咸得开其喙 发策决科者 授子而不栗,1
470,愀然告我曰 惟家贫 奉命于大人而勉为科举之文也,1
471,那就纵使鞭打得再狠毒也树立不起威严,0
472,散所蒸牙笋并叶 畏流其膏,1
473,心目断尽 无所知哀,1
474,要求高就容易产生埋怨 而关系录就容易消除隔阂,0
475,子亟亟焉 物性之不知 土宜之不辨,1
476,拙文研思 终归蚩鄙,1
477,使目非是无欲见也 使耳非是无欲闻也,1
478,仆妾之为雀鼠 妻子之为风雨 甚哉,1
479,西人来观 祝公万年,1
480,宗庙之祭 不用牲牢,1
481,乃瞻衡宇 载欣载奔,1
482,还能屈身施礼以弘扬尊礼的道义,0
483,也是一部学术著作,0
484,元嘉十七年 刘义康被贬到籓地 刘湛等人被杀,0
485,今所谓慧空禅院者 褒之庐冢也,1
486,凿以写龙 屋室雕文以写龙,1
487,只要担心德行不能有所成就,0
488,愤怒得再厉害也只会增加怨恨 直到长大成人,0
489,四方百姓都归顺他,0
490,蹑足行伍之间 倔起阡陌之中 率罢散之卒 将数百之众,1
491,吾侪小人 朝不及夕,1
492,承 一曰台 一曰砧,1
493,况凡庶乎 此事遍于经史 吾亦不能郑重,1
494,现在段公仅有的一匹马 低价卖了买谷子送进你家,0
495,闭之 则右刻 山高月小 水落石出,1
496,若入前为寿 寿毕 请以剑舞 因击沛公于坐 杀之,1
497,然九水发 巴江之水亦发 九水方奔腾皓淼,1
498,秦人开关而延敌 九国之师逡巡遁逃而不敢进,1
499,然后伸长脖子发出喔咿的叫声,0
500,其遇于世何如也 今先生学虽勤而不繇其统,1
501,对后人有着宝贵的认识价值,0
502,中原地区稍稍安定后 逃到辽东的客人都返归了,0
503,江中帆樯 如月中桂影 不可辨,1
504,岂圣人之制使至于是乎 吾固曰,1
505,蹲下来观察它们 兴趣正浓厚,0
506,一屠晚归 担中肉尽 止有剩骨,1
507,今段公唯一马 贱卖市谷入汝 汝又取不耻,1
508,人生小幼 精神专利,1
509,臣生当陨首 死当结草,1
510,也是可以知道的,0
511,刘宋和萧齐之间 教化失去了根基,0
512,今臣亡国贱俘 至微至陋,1
513,于是在城东接待寺找了一名导游,0
514,一座放在雍州的南部,0
515,接受部署时都十分小心 当他的面 眼珠也不敢随便转动,0
516,梁朝全盛时期 士族子弟 多数没有学问 以至有俗读说,0
517,有志向者 遂能磨砺 以就素业,1
518,因而发生了兄杀弟的事情,0
519,即使你们死了 也要让你们的子孙记在心里,0
520,祸乱已经发生了 也还是容易治理,0
521,一旦如此 就要叫自己的儿子出来拜见,0
522,郑覃因有病请求免官 皇帝下诏解除太子太师之职,0
523,他们统治的时间都很长久,0
524,我看见细小的东西,0
525,林尽水源 便得一山 山有小口 仿佛若有光,1
526,乃授司空 致仕 卒,1
527,是夕 遂宿毅于凝光殿,1
528,上车不落就可当著作郎,0
529,唯理有不可直 乃激人之怒耳,1
530,诗经 思想端正而辞采华美,0
531,秦王曰 布衣之怒 亦免冠徒跣 以头抢地耳,1
532,而訾医师以昌阳引年 欲进其豨苓也,1
533,愿陛下托臣以讨贼兴复之效 不效,1
534,吾赖是以食吾躯,1
535,此人用兵 岂止万夫之望而已哉,1
536,夫天下之荆棘藜刺 下牡丹百倍者,1
537,这都是上天还没有表现出来他的真实意愿的缘故,0
538,北海虽然十分遥远,0
539,楼上的人往来匆匆 有靠着的,0
540,王羲之书 称彼之母与自称己母同 不云,1
541,楚师深入 战于鸿门 曾无藩篱之难,1
542,罗彦少从父塞上 习兵事,1
543,见大王爱女牧羊于野,1
544,今当远离 临表涕零 不知所言,1
545,喜欢抒写闲情逸致 辞采却又不够华美,0
546,还是东野给我写信时,0
547,世上的人大多有所壅蔽不能通明,0
548,于是六国之士 有宁越 徐尚 苏秦 杜赫之属为之谋,1
549,经纪人伦 故长于行 书 记先王之事,1
550,肃遂拜蒙母 结友而别,1
551,从此以往 永奉欢好 心无纤虑也,1
552,越国以鄙远 君知其难也,1
553,曹操智计 殊绝于人 其用兵也,1
554,很快到了第三年的正月里,0
555,正好像是器物现在已经倾斜 可是还没有倒地的情形,0
556,主人如此喜怒无常 花的命也就送掉了,0
557,留下住了一年 你请求回去接妻子儿女,0
558,再说天下各国曾经同心合力进攻秦国,0
559,吞二周而亡诸侯,1
560,棨 又叫锥刀 用坚实的木料做柄 用来给饼茶穿洞眼,0
561,于是舍人相与谏曰,1
562,被妻子给克扣 轻侮宾客 刻薄乡邻,0
563,距离住宿的旅馆还有十里路,0
564,你活着的时候不能和我形影相依,0
565,然见食未尝先啄 而必长鸣命侣焉,1
566,何者 严大国之威以修敬也,1
567,又有臧逢世 臧严之子也,1
568,君附书之日 笑谓妾曰  他日归洞庭 慎无相避,1
569,堕先人所言 罪莫大焉,1
570,因此刘湛在刘义康面前毁谤他,0
571,所以派人带着宝璧回去 已从小路回到赵国了,0
572,此沛公左司马曹无伤言之 不然 籍何以至此,1
573,虽然没有给养 但只要看到有人家住的房屋就能吃上饭 横行天下,0
574,并由朝廷命官管理诸侯国,0
575,沛公今事有急 亡去不义 不可不语,1
576,诸侯朝修天子之业命 昼考其国国职,1
577,以昭陛下平明之理 不宜偏私 使内外异法也,1
578,争而不得 不可谓强,1
579,都令人对颜家有不同凡响的深刻印象,0
580,或因家世馀绪 得一阶半级,1
581,就最终不能理解了,0
582,于是又为之益旧 总为碘九 为埭二十,1
583,是坐而待毙 还是主动去征伐敌人呢,0
584,又用剩余的材料在堤上修建了两个亭子供人休憩,0
585,他们的才智低于圣人很远,0
586,其后竞为侯景所逼 饿死台城 国亦寻灭,1
587,起居无时 惟适之安,1
588,夹岸高山 皆生寒树 负势竞上 互相轩邈,1
589,帝意解 乃曰 朕之阙 下能尽规 忠也,1
590,故为之书 尚俾来者知毋废前人之功 以永为此邦之利,1
591,那么我就只好放弃鱼而选取熊掌了,0
592,虽然 犹有未树也,1
593,据亿丈之城 临不测之溪以为固,1
594,言之 貎若甚戚者,1
595,因而害了亳州 希望左君同时治理亳州,0
596,攻陈 陈守令皆不在 独守丞与战谯门中,1
597,当及婴稚识人颜色 知人喜怒,1
